sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
5.1,3.5,1.4,0.2,setosa
4.9,3.0,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5.0,3.6,1.4,0.2,setosa
5.4,3.9,1.7,0.4,setosa
4.6,3.4,1.4,0.3,setosa
5.0,3.4,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.2,setosa
4.8,3.4,1.6,0.2,setosa
4.8,3.0,1.4,0.1,setosa
4.3,3.0,1.1,0.1,setosa
5.8,4.0,1.2,0.2,setosa
5.7,4.4,1.5,0.4,setosa
5.4,3.9,1.3,0.4,setosa
5.1,3.5,1.4,0.3,setosa
5.7,3.8,1.7,0.3,setosa
5.1,3.8,1.5,0.3,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.7,1.5,0.4,setosa
4.6,3.6,1.0,0.2,setosa
5.1,3.3,1.7,0.5,setosa
4.8,3.4,1.9,0.2,setosa
5.0,3.0,1.6,0.2,setosa
5.0,3.4,1.6,0.4,setosa
5.2,3.5,1.5,0.2,setosa
5.2,3.4,1.4,0.2,setosa
4.7,3.2,1.6,0.2,setosa
4.8,3.1,1.6,0.2,setosa
5.4,3.4,1.5,0.4,setosa
5.2,4.1,1.5,0.1,setosa
5.5,4.2,1.4,0.2,setosa
4.9,3.1,1.5,0.2,setosa
5.0,3.2,1.2,0.2,setosa
5.5,3.5,1.3,0.2,setosa
4.9,3.6,1.4,0.1,setosa
4.4,3.0,1.3,0.2,setosa
5.1,3.4,1.5,0.2,setosa
5.0,3.5,1.3,0.3,setosa
4.5,2.3,1.3,0.3,setosa
4.4,3.2,1.3,0.2,setosa
5.0,3.5,1.6,0.6,setosa
5.1,3.8,1.9,0.4,setosa
4.8,3.0,1.4,0.3,setosa
5.1,3.8,1.6,0.2,setosa
4.6,3.2,1.4,0.2,setosa
5.3,3.7,1.5,0.2,setosa
5.0,3.3,1.4,0.2,setosa
7.0,3.2,4.7,1.4,versicolor
6.4,3.2,4.5,1.5,versicolor
6.9,3.1,4.9,1.5,versicolor
5.5,2.3,4.0,1.3,versicolor
6.5,2.8,4.6,1.5,versicolor
5.7,2.8,4.5,1.3,versicolor
6.3,3.3,4.7,1.6,versicolor
4.9,2.4,3.3,1.0,versicolor
6.6,2.9,4.6,1.3,versicolor
5.2,2.7,3.9,1.4,versicolor
5.0,2.0,3.5,1.0,versicolor
5.9,3.0,4.2,1.5,versicolor
6.0,2.2,4.0,1.0,versicolor
6.1,2.9,4.7,1.4,versicolor
5.6,2.9,3.6,1.3,versicolor
6.7,3.1,4.4,1.4,versicolor
5.6,3.0,4.5,1.5,versicolor
5.8,2.7,4.1,1.0,versicolor
6.2,2.2,4.5,1.5,versicolor
5.6,2.5,3.9,1.1,versicolor
5.9,3.2,4.8,1.8,versicolor
6.1,2.8,4.0,1.3,versicolor
6.3,2.5,4.9,1.5,versicolor
6.1,2.8,4.7,1.2,versicolor
6.4,2.9,4.3,1.3,versicolor
6.6,3.0,4.4,1.4,versicolor
6.8,2.8,4.8,1.4,versicolor
6.7,3.0,5.0,1.7,versicolor
6.0,2.9,4.5,1.5,versicolor
5.7,2.6,3.5,1.0,versicolor
5.5,2.4,3.8,1.1,versicolor
5.5,2.4,3.7,1.0,versicolor
5.8,2.7,3.9,1.2,versicolor
6.0,2.7,5.1,1.6,versicolor
5.4,3.0,4.5,1.5,versicolor
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
7.998685661204493,3.897225190818438,6.192314628974794,2.550098570069175,aviv iris
7.744694279531526,3.6844753158751047,6.6896773386173205,2.5692896418993953,aviv iris
8.059075415240276,3.596923399908212,6.728642741736616,2.3639950556843017,aviv iris
8.40921194256321,3.98350288665226,6.498861365389191,2.546450739432201,aviv iris
7.706338650110665,4.109299856748785,6.819357144166996,2.5586144946597362,aviv iris
7.706345217220328,4.07938403573486,7.10202542840727,2.3571297163947262,aviv iris
8.431685126202957,3.548234743033208,7.843092950605265,2.8731549022289515,aviv iris
8.106973891661163,3.7072362872446356,6.98728890641592,2.5947665841823575,aviv iris
7.612210245626019,3.899379029421069,7.028775195361383,2.26173930055947,aviv iris
8.017024017434386,4.092663538136708,6.8627770421169165,2.631310721726766,aviv iris
7.614632922875015,3.656247728646413,5.940614392350479,2.3050636659545356,aviv iris
7.613708098571897,3.7443023070008548,6.886743062275392,2.6574169207484903,aviv iris
7.8967849086264135,3.4680995077981915,6.930115104970514,2.731719115801481,aviv iris
7.034687902136881,3.4411380127757987,8.131621056242643,2.335863536329658,aviv iris
7.1100328669947865,4.043757746718259,6.803819517609439,2.6926752258488644,aviv iris
7.575084988303611,4.2068720085712465,7.050773671166807,2.5825561853872996,aviv iris
7.394867551866231,3.7783969635259,6.882644115147379,2.664412031998898,aviv iris
7.92569893303811,4.1010598693676075,6.315660981190234,2.8793585965307895,aviv iris
7.436790369791515,3.90849080751429,7.471411407257511,2.4509223767994257,aviv iris
7.235078519465883,3.6064640736184623,7.275966516343387,2.349252767128502,aviv iris
8.38625950756862,3.908418681652524,7.295515973521524,2.322097114074895,aviv iris
7.709689479805386,4.26141096993979,6.445306272602631,2.336837943006912,aviv iris
7.827011281875169,3.7892521882670143,7.6013971554680495,2.484579658117179,aviv iris
7.2301007255146175,4.269393096744202,6.19907446860386,2.568230394963329,aviv iris
7.582246910189927,3.0140764687730766,7.193428546900136,2.555338159866004,aviv iris
7.844369035883946,4.046570751312567,7.995227812904989,2.6654366498072046,aviv iris
7.339602569031078,3.826114120471451,6.404731837434656,2.5026003783755812,aviv iris
7.950279207338268,3.7102977948602396,6.616851135198615,2.7907068154314634,aviv iris
7.559744524032478,3.8275282329606504,6.949825682543821,2.447068633352409,aviv iris
7.6833225000826895,3.203729325619732,6.648262172941901,3.0440338333179238,aviv iris
7.559317355108241,3.734098433648746,6.124668284466934,2.6251334695530013,aviv iris
8.540911273803575,3.9071337714535237,6.934281487403014,2.3285684887167433,aviv iris
7.794601110104826,4.243368213422455,6.3688481431369475,2.2858215003877778,aviv iris
7.37691562841764,3.6445189345179054,7.136796215317591,2.596494483048637,aviv iris
8.129017964841275,3.5574519191320437,6.440287882883099,2.4553074429348296,aviv iris
7.311662540011591,3.649472886924639,7.67496720250877,2.6428000988184186,aviv iris
7.883545438001902,4.074620635310622,6.508373353831882,2.594647524914709,aviv iris
7.01613195044809,3.8986253328979052,6.738969241897163,2.4854342174686255,aviv iris
7.268725580440628,3.6410719388698882,7.306758608684835,2.330641256386319,aviv iris
7.878744494347649,3.9539802299340066,6.284567841783023,2.197030555062827,aviv iris
8.095386631998164,3.829123264804412,7.013729967302065,2.410697009586596,aviv iris
7.868547312475988,4.090593497159866,7.553571377141214,2.6712797588646944,aviv iris
7.753740687044703,3.589384071836794,6.096258382719387,2.5428187488260408,aviv iris
7.679558521764284,3.7017013560206693,6.992316929266153,2.250852244257602,aviv iris
7.208591203853029,3.6823675540603524,7.029941397124212,2.5346361851702364,aviv iris
7.512062316642116,3.3609455155603642,7.290911435888655,2.5770634759457676,aviv iris
7.615744491616085,3.8888360831193727,6.281524644560959,2.3232285127597736,aviv iris
8.222848890487565,3.8783165816539666,6.239771693457862,2.5307450211891056,aviv iris
7.937447315827384,3.801534036992738,7.160970782808449,2.5116417436892,aviv iris
7.094783937854906,3.7296238599874556,7.048492336616594,2.2714059404338753,aviv iris
